date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:44:22	12384/12384	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2008:44:21%20GMT	http://182.76.237.238/~newsyscheck/dream-come-true/	C:/My%20Web%20Sites/Janex/182.76.237.238/_newsyscheck/dream-come-true/index.html	(from )
00:44:22	10090/10090	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Feb%202022%2008:44:20%20GMT	http://182.76.237.238/robots.txt		(from )
00:44:24	163873/163873	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Jan%202022%2005:41:22%20GMT	http://182.76.237.238/~newsyscheck/dream-come-true/webAssets/css/bootstrap.min.css	C:/My%20Web%20Sites/Janex/182.76.237.238/_newsyscheck/dream-come-true/webAssets/css/bootstrap.min.css	(from http://182.76.237.238/~newsyscheck/dream-come-true/)
00:44:25	6420/6420	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Jan%202022%2014:05:08%20GMT	http://182.76.237.238/~newsyscheck/dream-come-true/webAssets/css/app.css	C:/My%20Web%20Sites/Janex/182.76.237.238/_newsyscheck/dream-come-true/webAssets/css/app.css	(from http://182.76.237.238/~newsyscheck/dream-come-true/)
00:44:25	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Janex/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://182.76.237.238/~newsyscheck/dream-come-true/)
00:44:25	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/Janex/unpkg.com/aos@2.3.1/dist/aos.css	(from http://182.76.237.238/~newsyscheck/dream-come-true/)
00:44:25	3342/3342	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jan%202022%2010:15:20%20GMT	http://182.76.237.238/~newsyscheck/dream-come-true/webAssets/imgs/janex-logo.png	C:/My%20Web%20Sites/Janex/182.76.237.238/_newsyscheck/dream-come-true/webAssets/imgs/janex-logo.png	(from http://182.76.237.238/~newsyscheck/dream-come-true/)
00:44:26	14239/14239	---M-Z	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My%20Web%20Sites/Janex/unpkg.com/aos@2.3.1/dist/aos.js	(from http://182.76.237.238/~newsyscheck/dream-come-true/)
00:44:27	332/332	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Jan%202022%2012:03:21%20GMT	http://182.76.237.238/~newsyscheck/dream-come-true/webAssets/imgs/download-1.png	C:/My%20Web%20Sites/Janex/182.76.237.238/_newsyscheck/dream-come-true/webAssets/imgs/download-1.png	(from http://182.76.237.238/~newsyscheck/dream-come-true/webAssets/css/app.css)
00:44:29	38748/38748	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Jan%202022%2005:57:14%20GMT	http://182.76.237.238/~newsyscheck/dream-come-true/webAssets/imgs/bannerPicture.jpg	C:/My%20Web%20Sites/Janex/182.76.237.238/_newsyscheck/dream-come-true/webAssets/imgs/bannerPicture.jpg	(from http://182.76.237.238/~newsyscheck/dream-come-true/webAssets/css/app.css)
00:44:30	78129/78129	---M--	200	added ('OK')	application/javascript	date:Tue,%2018%20Jan%202022%2005:41:30%20GMT	http://182.76.237.238/~newsyscheck/dream-come-true/webAssets/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Janex/182.76.237.238/_newsyscheck/dream-come-true/webAssets/js/bootstrap.bundle.min.js	(from http://182.76.237.238/~newsyscheck/dream-come-true/)
